Country	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
AE													3			
AG			4				1	2	5	1	1	3	5			
AN			2	8												
AR									1							
BB									2				1			
BD							1									
BE										1						
BH					1											
BM		1	2	3	13	17	197	47	22	22	35	43	46	52	34	6
BO				1			2	1				1				
BR												1				
BS		80	17	49	38	37	55	44	50	40	36	56	52	15	13	3
BZ			4			7	3									
CA		1	7	3	3	4	3	9	6	2	1	2	1	7	1	
CH				1		1		1	1							
CI										1						
CK			2										1			
CN				6	1				4							
CO			2	1				7	1							
CY			1	3	2	4	2	2	1	1		2		1	1	
DE			1	1	1	2		1								
DK				7		1				1		1		3	1	
DM				4	1		1									
DO			1													
DZ				1												
EG												1				
ES					1											
FR											1		1			
GB			5	4	4	9	16	13	7	6	6	22	14	20		
GE		4														
GH								4								
GI							1	1		1						
GP		1														
GR			3	3	3	2	2	2	3		2	3	2	2		
GY	1			1		1										
HK		1	1	3	6	2	10	5	3	2	2	2	4	4	3	
HN			4	3	3											
HR				1												
ID			1													
IM			1							1	1	1	1			
IN			2	3	1	5	9	4				2				
IT			1		1	8			1	2		2	1	2		
JM			1					1		1						
JP				1	4							1			1	
KI					1							2				
KM				1				1	1							
KN		1	5	4	4	6	2	2	2	2	1	1				
KR				3		4		1	1			1	1		1	
KY		1	1		3	1	2	4						2		
LR	2	8	40	30	28	28	34	22	15	9	9	18	6	8	4	
LT								1							1	
MH	3	7	32	28	27	20	16	16	19	16	27	13	11	14	7	1
MT	1	4	8	9	11	15	33	12	10	9	11	19	12	9	10	
MV										1						
MX		1	2	4	3				4		3		1			
MY		1			8				2							
NG		5	5	1	4	1	2	2	2		1					
NI												1				
NL			6	1	5	7	11	12	5	6	9	31	24	14	8	1
NO			4	2	1	5	6	5	1	1	3		1	1		
PA	2	7	19	25	32	30	22	40	38	33	42	50	59	22	20	4
PE		1	1				1					1				
PH			1					1					1			
PT				1												
PY			2			2	3	2	1		2	1		1		
RU								1			1	1	1			
SA							1									
SC										2						
SG	1	1	9	6	34	12	4	2	8	6	5	4	10	5	3	
SL			1			2			1							
SR			1													
TC										1						
TR						1				1	1		1	1		1
TT		1	4			1	2	2								
TV			1	4			2	2	1							
TW				1	1		1		2							
TZ					1							1				
US	51	284	827	868	768	738	893	754	693	698	746	760	689	771	357	50
UY				2												
VC		1	5	2	3	2	1	1	2	1	2	3				
VE			5	1		3										
VG			3	2										3		
VU		6	18	14	2	5	8	3	4	1			5	2	1	
